title,company,location,salary_min,salary_max,description
Commercial Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",60000.0,65000.0,"Commercial Data Analyst Up to £65k  benefits Central London based 3x a week in the office The Role We are seeking a commercially focused Data Analyst to join a growing analytics function within a fast-paced B2B organisation. Working closely with Commercial, Finance, and Customer Success teams, you will deliver insights that influence pricing strategy, customer retention, revenue growth, and operational performance. This is a highly autonomous role where you'll be expected to identify opportunit…"
Lead Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",55000.0,65000.0,"Lead Data Analyst London, Hybrid (1-2x per week) Up to £65,000 This is an exciting opportunity to join a high-growth organisation where data science directly shapes performance marketing strategy. You will lead a growing data science function, drive long-term analytical programmes, and play a key role in delivering meaningful commercial impact for well-known consumer brands. The Company They are a specialist performance marketing and technology business known for combining deep analytical exper…"
Senior Data Analyst,ADLIB,"London, UK",50000.0,60000.0,"Own reporting and insight using GA, BigQuery and Looker in a growing data-led business Salary up to £60,000 with strong ownership and autonomy. Hands-on role focused on insight, analysis and dashboarding. Hybrid working with 1–2 days a week in a central London office. We’re looking for someone to take ownership of reporting and insight within a small, growing business. This is a hands-on role focused on analysis, reporting and visualisation. You’ll work closely with stakeholders, building dashb…"
Data Analyst,Cherry Professional - Relationship Led Recruitment,"Nottinghamshire, East Midlands",35000.0,45000.0,"We are currently recruiting for a Data Analyst to join a growing, data-led organisation within a specialist global industry. This role sits at the heart of a data research and analytics team, combining data quality assurance, analytical insight, and content creation. You will play a key role in ensuring the accuracy of critical datasets while also transforming data into compelling, insight-led content that supports thought leadership and market positioning. Key Responsibilities Data Quality & A…"
Data Analyst Trainee,ITOL Recruit,"Derby, Derbyshire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Sheffield, South Yorkshire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Trainee Data Analyst,ITOL Recruit,"Newcastle Upon Tyne, Tyne & Wear",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Trainee Data Analyst,ITOL Recruit,"Norwich, Norfolk",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Swansea, Wales",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Worthing, West Sussex",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
